libc.so.6->strncasecmp(0x757e41ab42e0, 0, 0x7ffd07062a78, 0x60e504939870) = 0
libc.so.6->wcsncpy(0x60e504936355, 37, 7, 0x34373139) = 0x60e504936356
libc.so.6->wcschr(0x60e51d5d5f99, 0x60e504936355, 1, 0x34373139) = 0x60e51d5d5f99
libc.so.6->_dl_deallocate_tls(0x60e51d5d5f9a, 0x60e50493638b, 8, 0) = 0x60e51d5d5fa2
libc.so.6->_dl_deallocate_tls(0x60e51d5d5fa2, 0x7ffd0705fc50, 8, 0) = 0x60e51d5d5faa
    b                2.44466
    p                1.09174
source: 49903445
libc.so.6->wcsncpy(0x60e50493634b, 37, 0x7ffd0705fc70, 2) = 0x60e50493634b
libc.so.6->strnlen(0x7ffd0705fea0, 0x757e41269191, 0x7ffd0705fca0, 0) = 1
libc.so.6->wmemchr(0x60e51d5d5f60, 32, 4, 4)     = 0x60e51d5d5f60
libc.so.6->wcschr(0x60e51d5d5f64, 0x7ffd0705fea0, 1, 4) = 0x60e51d5d5f64
libc.so.6->wcsncpy(0x60e50493634e, 37, 1, 98)    = 0x60e50493634e
libc.so.6->strnlen(0x757e413cb0fa, 0x757e414043c0, 0x7ffd0705f6c0, 0x7ffd0705f6a8) = 0
libc.so.6->wmemchr(0x60e51d5d5f65, 32, 16, 0)    = 0x60e51d5d5f65
libc.so.6->wcschr(0x60e51d5d5f75, 0x7ffd0705f2f2, 7, 0) = 0x60e51d5d5f75
libc.so.6->wcsncpy(0x60e504936355, 37, 7, 0x35353138) = 0x60e504936356
libc.so.6->wcschr(0x60e51d5d5f7c, 0x60e504936355, 1, 0x35353138) = 0x60e51d5d5f7c
libc.so.6->wcsncpy(0x60e50493634b, 37, 0x7ffd0705fc70, 2) = 0x60e50493634b
libc.so.6->strnlen(0x7ffd0705fea0, 0x757e41269191, 0x7ffd0705fca0, 0) = 1
libc.so.6->wmemchr(0x60e51d5d5f7d, 32, 4, 4)     = 0x60e51d5d5f7d
libc.so.6->wcschr(0x60e51d5d5f81, 0x7ffd0705fea0, 1, 4) = 0x60e51d5d5f81
libc.so.6->wcsncpy(0x60e50493634e, 37, 1, 112)   = 0x60e50493634e
libc.so.6->strnlen(0x757e413cb0fa, 0x757e414043c0, 0x7ffd0705f6c0, 0x7ffd0705f6a8) = 0
libc.so.6->wmemchr(0x60e51d5d5f82, 32, 16, 0)    = 0x60e51d5d5f82
libc.so.6->wcschr(0x60e51d5d5f92, 0x7ffd0705f2f2, 7, 0) = 0x60e51d5d5f92
libc.so.6->wcsncpy(0x60e504936355, 37, 7, 0x33363030) = 0x60e504936356
libc.so.6->wcschr(0x60e51d5d5f99, 0x60e504936355, 1, 0x33363030) = 0x60e51d5d5f99
libc.so.6->_dl_deallocate_tls(0x60e51d5d5f9a, 0x60e50493638b, 8, 0) = 0x60e51d5d5fa2
libc.so.6->_dl_deallocate_tls(0x60e51d5d5fa2, 0x7ffd0705fc50, 8, 0) = 0x60e51d5d5faa
    b                2.38155
    p                1.10063
source: 49058920
--- SIGINT (Interrupt) ---
+++ killed by SIGINT +++
